id_pessoa,id_bc,id_emprestimo,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,foi_inadimplente_bc,tempo_primeira_solicitacao_credito_bc,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,possibilidade_inadimplencia,porcentagem_salario_emprestimo
mjdWrz5v-Tsxq,D9e8nGDN-LsiM,p9NkOSbb-iZ98,23.0,50004.0,Hipoteca,7.0,N,2.0,Pessoal,B,16000.0,11.83,0.0,0.32
GUFWeKQJ-jhFr,cH2rQ4S5-Biom,qSa1ea9p-wEe9,29.0,30000.0,Hipoteca,3.0,N,8.0,Empreendimento,A,6000.0,5.79,0.0,0.2
8mi8e50o-eL63,vptdCzBj-NzUX,GznEcMcU-gfYA,28.0,56000.0,Aluguel,4.0,N,9.0,Pessoal,A,6400.0,7.29,0.0,0.11
O8h1Rae6-xByQ,KAYN6jrF-t94R,7jbdG3Jz-tX95,27.0,80000.0,Hipoteca,4.0,N,10.0,Pessoal,A,6000.0,6.03,0.0,0.07
RvSZP6zS-tsyB,cYW6TPa2-MNan,OxvFqyNL-XneE,21.0,15874.0,Aluguel,,N,3.0,Educativo,B,1500.0,,0.0,0.09
HrBeXBO4-SOOk,czl4n5Gp-tEzx,cFoBlEp7-c91L,28.0,44928.0,Hipoteca,5.0,S,8.0,Empreendimento,C,1000.0,13.06,0.0,0.02
JLAq8dlx-tu7t,inq4GkBo-RevJ,AvrwUxDi-ooLm,27.0,90000.0,Hipoteca,8.0,N,5.0,Pagamento de débitos,A,12000.0,7.29,0.0,0.13
dfR4jQP7-2N7k,ESaCwKZq-Wfyf,dAqX7ktu-NX1h,25.0,61995.0,Aluguel,2.0,N,4.0,Empreendimento,B,8000.0,9.99,0.0,0.13
kiviuFqr-yw1H,RUuLc4gU-3zZx,ct99HHm4-MIwG,24.0,54996.0,Aluguel,2.0,N,4.0,Melhora do lar,B,23600.0,11.89,1.0,0.43
4wRtwAOD-fdNb,tML5tppy-RyL8,p3xDLa1M-ZX8p,22.0,27000.0,Aluguel,3.0,N,3.0,Médico,A,2800.0,7.51,1.0,0.1
luzTyU1O-HwGP,SjA5dDht-BlZz,CxnUAYrh-D7ys,27.0,54000.0,Aluguel,1.0,S,7.0,Melhora do lar,F,12750.0,,1.0,0.24
TvU3dUd2-YvDu,2v1QIGln-gqRR,DdWY2Q0e-Z5fR,24.0,30000.0,Hipoteca,,N,2.0,Melhora do lar,A,8000.0,6.17,0.0,0.27
MzUg7GJW-iGmI,nfu8sSRA-ahH0,QhN9t3QJ-4aUi,27.0,30000.0,Aluguel,5.0,N,6.0,Médico,D,7000.0,15.62,1.0,0.23
zwkIqR2D-zo0r,hAPN9vDX-F1Fj,pxqiAPWw-odYr,22.0,79000.0,Aluguel,3.0,N,2.0,Pagamento de débitos,A,10000.0,7.88,0.0,0.13
PWlWUNPr-zIn1,L3F86S0y-dfvi,ZxZlKLo0-H2Iv,23.0,16000.0,Própria,7.0,N,2.0,Médico,A,6000.0,7.9,1.0,0.38
is5bADKO-O3eE,1sWi2OJW-3NeQ,ZiEA30Qq-x26c,24.0,30000.0,Aluguel,6.0,S,2.0,Educativo,E,7750.0,,0.0,0.26
jtwD9UW1-okcP,tPOHhMxG-yDAb,SBDnXzZD-Pr6y,27.0,125000.0,Hipoteca,11.0,S,8.0,Pessoal,C,15975.0,12.72,0.0,0.13
PpPeS9UF-0dBP,yCHbrx5m-1Cde,Sw2PQXme-DsIO,27.0,37440.0,Aluguel,5.0,N,8.0,Pessoal,A,15000.0,7.9,1.0,0.4
w0ozvRbG-xRDg,HaxNMxnK-Q1Xk,SEpgMhXx-GZ2j,45.0,35000.0,Outro,6.0,N,12.0,Pessoal,B,4800.0,,0.0,0.14
lrPYIgio-GgP9,N9Q5wcmI-KgIU,22oWUnW0-yybA,28.0,44004.0,Hipoteca,5.0,S,10.0,Médico,C,6000.0,13.06,0.0,0.14
yQuJdXyJ-bD8K,mezgecdd-dDK8,hXQ4NEzq-KKd7,24.0,45000.0,Aluguel,0.0,S,3.0,Médico,C,11200.0,12.04,0.0,0.25
IfWGWFOE-mGib,tfD72JXk-9rsz,1E6xy71L-LL1B,22.0,40000.0,Hipoteca,5.0,N,4.0,Pagamento de débitos,B,8000.0,9.76,0.0,0.2
3M0BiiTH-5tzA,6H6RE2rC-rzTq,dfsw5bc7-lx3O,25.0,46116.0,Hipoteca,9.0,N,3.0,Pagamento de débitos,C,10000.0,11.03,0.0,0.22
78tnN1hO-tCzK,xma5Bm8L-iBAG,l9ISxnzv-pS5y,40.0,90000.0,Aluguel,1.0,S,14.0,Educativo,C,1500.0,14.27,0.0,0.02
zcQpmlNS-Oe0t,nUTftnSI-SWTC,Uc82IxKI-wuTO,25.0,180000.0,Hipoteca,3.0,N,2.0,Empreendimento,B,9950.0,11.26,0.0,0.06
zYTxB5Pp-Prlb,gJF2SoIz-FrEO,JngxcKIY-4eQR,26.0,95000.0,Aluguel,4.0,N,4.0,Pagamento de débitos,A,4800.0,,0.0,0.05
U1OrXarX-EfOY,IqvX0I7W-0yY0,zx0R2sXD-IJPv,26.0,123996.0,Hipoteca,10.0,N,4.0,Médico,A,2000.0,5.42,0.0,0.02
jStnHuLA-eWQE,2lBv4zs4-qYlS,HT7ivL0E-wZbs,37.0,33600.0,Aluguel,3.0,N,17.0,Pessoal,B,8000.0,,0.0,0.24
KjJloCvB-IuPC,aBtIEzOD-DppG,xA5GMeGb-0J0a,21.0,36000.0,Hipoteca,3.0,N,4.0,Pagamento de débitos,A,4000.0,5.99,0.0,0.11
MxdyrqcQ-uicf,5Kner55w-egiA,tk8ChChi-G0LM,41.0,52106.0,Aluguel,4.0,N,13.0,Educativo,C,5000.0,12.84,1.0,0.1
e7pRYWgp-P005,ozcwBkcb-ESdU,WDLNU1Nn-IZ5y,40.0,46000.0,Hipoteca,5.0,N,14.0,Melhora do lar,A,10000.0,7.9,0.0,0.22
e0iY9AUC-thP5,7hlYCNep-WcuF,zurwCT5Z-zwDi,24.0,60000.0,Hipoteca,3.0,N,2.0,Melhora do lar,B,4000.0,11.86,0.0,0.07
2W6UAxn7-S04Z,0Ni1RvXT-XdDv,EQmjXW1w-EOi0,22.0,45000.0,Hipoteca,2.0,S,4.0,Educativo,D,8000.0,16.49,0.0,0.18
bPOytRq0-C63f,aywnCCci-I9MY,SwNipFU4-DmDd,23.0,88000.0,Hipoteca,3.0,N,4.0,Empreendimento,A,2700.0,7.9,0.0,0.03
rjn9I700-sPGp,eCoPN71Q-Bqlf,hve1H9UZ-vAEM,31.0,168000.0,Hipoteca,2.0,N,7.0,Empreendimento,B,15500.0,9.25,0.0,0.09
JwpMASGd-NWKN,PXT78k0h-1T6w,B8XneqJk-M5xb,25.0,57000.0,Aluguel,8.0,N,2.0,Médico,B,2000.0,11.36,0.0,0.04
8XeZgGvq-sgjU,ob4psnmr-ygAg,u2m6igIE-D5PP,29.0,175000.0,Hipoteca,1.0,N,8.0,Pagamento de débitos,A,15000.0,8.49,0.0,0.09
gwNwOn7Y-nl7F,z4UoYAYp-P66J,xnRxZqAU-3v8g,33.0,42000.0,Hipoteca,3.0,N,6.0,Pagamento de débitos,A,13000.0,7.9,0.0,0.31
AMUU4FSS-XOwv,SwSO4WR4-oRcY,CRdAoAIH-JlQE,28.0,81120.0,Hipoteca,5.0,N,7.0,Melhora do lar,B,5200.0,11.49,0.0,0.06
ABQag51R-yjQ9,DSIZ0qyB-QoTp,oRXf2Tbz-s6aW,47.0,305000.0,Hipoteca,6.0,S,12.0,Melhora do lar,C,10000.0,13.43,0.0,0.03
jYY5zmdh-oZIM,mwWCZeCT-iTgD,qgvgvYgy-HGbT,23.0,42000.0,Aluguel,6.0,N,2.0,Educativo,B,11800.0,12.69,0.0,0.28
BrmFwd16-MsaL,ktcJ4t6h-lrOr,A7eFSwgT-I7K6,24.0,91228.0,Hipoteca,2.0,N,3.0,Médico,A,12000.0,7.49,0.0,0.13
8AKGvdrM-JbiS,J37g1KsP-tg8t,wpXH5jCZ-ks4I,22.0,72000.0,Própria,2.0,N,2.0,Médico,A,15000.0,7.9,0.0,0.21
EytDR9Md-8BKl,SYfYlxHv-aKFc,7Q3vxuMS-vXXs,25.0,73000.0,Aluguel,1.0,N,3.0,Educativo,A,12000.0,7.49,0.0,0.16
YHgcNS7u-pRFG,EJcUgkBq-dMwz,DXAxWpUv-lwLZ,28.0,116000.0,Hipoteca,12.0,N,6.0,Empreendimento,A,14000.0,7.51,0.0,0.12
13FiDSjK-XGfw,1rT7kgrI-iBTx,IYAuZAGD-tvKT,22.0,70000.0,Hipoteca,4.0,N,3.0,Empreendimento,B,13750.0,10.75,0.0,0.2
TYsnYSXh-cuW9,yeZKSeh2-T3sp,GqKKNbSQ-imOw,28.0,52000.0,Aluguel,0.0,N,8.0,Melhora do lar,B,4000.0,10.75,0.0,0.08
urQmqEb3-y3Or,frpuGPMf-bYzo,8GWlnE8r-a0CK,43.0,22800.0,Aluguel,0.0,N,12.0,Médico,B,5075.0,10.59,0.0,0.22
yZckRDIy-nd6r,z2BNli7I-X039,gHv9nQo1-oDi5,22.0,38272.0,Própria,6.0,N,2.0,Médico,B,4800.0,9.99,0.0,0.13
MfipiCtr-qrCj,4JpDCxEr-4tJ4,ro6eLcRd-c8lO,21.0,21600.0,Própria,,N,3.0,Empreendimento,A,7125.0,6.99,0.0,0.33
jQs3vzBD-Nesr,MEmF7sjf-LkOl,YLw14TtI-ihol,29.0,60000.0,Hipoteca,13.0,N,9.0,Médico,A,8000.0,5.99,0.0,0.13
fcLCqWW4-fGGw,WFIwMpiu-gAXQ,uws8Qpwj-sakB,30.0,54000.0,Aluguel,14.0,S,9.0,Pessoal,D,4425.0,17.49,0.0,0.08
f7pn3hM2-WhpQ,hHbrC8i3-C4th,xlu8cuB4-7jy0,22.0,34000.0,Aluguel,4.0,N,2.0,Pessoal,A,6000.0,,1.0,0.18
DdWlM117-ak62,rJXOeRDr-R6MB,jWGSXAJI-eyvO,24.0,39000.0,Aluguel,0.0,S,4.0,Médico,D,3000.0,14.61,1.0,0.08
98ONkvzL-oDpw,XZUu9ivD-aADA,6lvKGKLS-DlJc,33.0,82000.0,Hipoteca,2.0,N,6.0,Empreendimento,A,6000.0,7.51,0.0,0.07
jFJshSaP-6Wod,ddnsvdAI-63xf,9kRQW5Im-wDNd,28.0,55000.0,Aluguel,3.0,N,8.0,Médico,B,6000.0,10.74,0.0,0.11
SHJstEie-XoIE,1rxuU5lW-Rr4j,iU6Kvpfa-9Wx6,25.0,123144.0,Aluguel,2.0,N,2.0,Médico,B,12000.0,10.75,0.0,0.1
F8YG3J1P-sv8L,7a6IOb4N-e4OZ,WjBXeWEu-nJBv,36.0,130000.0,Hipoteca,9.0,N,3.0,,,6000.0,10.37,0.0,0.09
FcNuy6GO-2UW6,bawqC8nh-cYvx,bo1iNMpX-sm0L,28.0,68804.0,Hipoteca,1.0,N,6.0,Educativo,A,22000.0,6.99,0.0,0.32
iXyMEIZn-1lJ4,Q9h5DTO4-oU4Q,jicwRwU4-ap2l,24.0,110400.0,Hipoteca,8.0,N,4.0,Empreendimento,A,3000.0,7.49,0.0,0.03
R4IPUW6F-I7ax,d9FvHJ68-lkRB,rG6Avrqx-uaGt,25.0,45996.0,Aluguel,3.0,N,4.0,Empreendimento,C,11500.0,12.53,0.0,0.25
GJLv3NAB-Ajmc,23SpnnSP-HbWW,QWk9rOO8-I945,23.0,28800.0,Própria,2.0,N,4.0,Pessoal,B,3000.0,11.11,0.0,0.1
sT9SPE16-SiPT,uv3g28Rn-mogZ,KtTedzEd-PBmu,23.0,41000.0,Hipoteca,7.0,N,4.0,Educativo,A,6000.0,6.03,0.0,0.15
axDb8NZq-3uzC,bPgcGjHN-BoP2,eFWOHAnx-hPmX,31.0,135000.0,Hipoteca,14.0,N,6.0,Pessoal,B,15000.0,10.75,0.0,0.11
TcF9IzID-uY4v,ITKRkuwN-xffZ,e23nNxbf-Cf3C,23.0,92000.0,Hipoteca,7.0,N,4.0,Empreendimento,E,7500.0,11.83,,0.0815
q4fE7l0Z-RU8O,8RD8XNoh-EltK,Tu0itfTx-PFmO,22.0,36000.0,Aluguel,5.0,N,3.0,Educativo,A,4500.0,6.17,0.0,0.13
WBwkmyTB-qsMY,x341j3wf-l6QS,SKHAFBOd-uvOi,23.0,24000.0,Aluguel,2.0,N,4.0,Médico,B,2800.0,11.49,1.0,0.12
H9tvW72F-02th,ouGMRLyI-cBvy,Zjyuxhdq-8y4d,26.0,84996.0,Aluguel,4.0,N,2.0,Educativo,B,3600.0,11.99,0.0,0.04
mc2JndwY-ahb7,IzubL3Hz-nSm4,hyJKPJb4-cqrt,24.0,61193.0,Hipoteca,5.0,N,3.0,Educativo,A,6400.0,8.59,0.0,0.1
RMe7Csjr-W2Mw,K6naCbhg-lFLT,l1WUHht8-uBSg,22.0,36628.0,Aluguel,4.0,N,4.0,Educativo,B,6000.0,11.86,0.0,0.16
EZNEHOcC-qUOu,O8r9U0sP-4wYS,gEnfJFf5-Kjwa,24.0,60000.0,Aluguel,8.0,N,2.0,Educativo,A,16800.0,6.54,0.0,0.28
1TwNcjeZ-s2pv,5yik8D1X-8Xns,425B2r4X-EnG3,25.0,50000.0,Aluguel,4.0,N,3.0,Pagamento de débitos,C,8000.0,13.85,0.0,0.16
mz5WRio5-61cj,UHYRPZBw-0ZK5,Df89azSH-oBty,21.0,57000.0,Aluguel,3.0,N,3.0,Pessoal,A,3000.0,5.42,0.0,0.05
UcD9cvXJ-dkdO,lAs5t9U7-al2C,FUzSQfJu-wfh7,27.0,23400.0,Aluguel,5.0,S,5.0,Educativo,D,7000.0,15.7,1.0,0.3
K3KYdsUy-OaxU,onLQJstc-hgZ9,edGPtxvg-bIo8,21.0,12000.0,Própria,0.0,S,4.0,Pessoal,C,4200.0,13.48,1.0,0.35
6QLv1jpl-tp7v,j2hrYLD0-5nn4,oAjQYjP6-jiaD,36.0,50000.0,Aluguel,4.0,S,14.0,Melhora do lar,C,3125.0,13.47,0.0,0.06
MDrhFsoh-gcsp,OAIQUZrQ-ZY0M,XnURzeUP-d2PZ,24.0,42765.0,Aluguel,9.0,S,2.0,Pagamento de débitos,C,18000.0,11.03,1.0,0.42
9QHvP0Pf-JDrc,wXurSTSP-9CgL,66jnRvGk-0gHU,33.0,32400.0,Aluguel,8.0,N,10.0,Educativo,A,11000.0,6.99,1.0,0.34
8BJtvxyI-SMxQ,jQmkx3ux-FcT5,iYJ3r61n-EXky,22.0,39900.0,Aluguel,4.0,N,2.0,Educativo,B,19000.0,12.18,1.0,0.48
zghQpaRL-7Y4d,Mgtc7x4C-8BsB,lPo1DfPL-l4Y1,30.0,60000.0,Própria,7.0,S,6.0,Empreendimento,D,6000.0,14.84,0.0,0.1
J2htouT1-ov4w,tsG5nFrk-nRFN,cKbiUbkp-jpw8,27.0,50000.0,Aluguel,5.0,N,6.0,Empreendimento,A,8000.0,7.14,0.0,0.16
7D4efv9G-xNAD,yYQoOhOb-UqoT,9Rp8wcNb-WsmE,25.0,40000.0,Aluguel,2.0,S,3.0,Médico,C,18000.0,13.11,1.0,0.45
XbTltWxp-Ztf8,W2Zf0i84-ZAYG,ixlqqvB2-9Y5L,24.0,105000.0,Aluguel,8.0,N,3.0,Pagamento de débitos,B,15000.0,10.95,0.0,0.14
tw7guoAr-MtR2,39R2LXRX-kdhO,WDfYca8Y-O826,33.0,30.0,Hipoteca,17.0,N,16.0,,C,1500.0,11.49,0.0,0.02
KGn5Jg59-hUlP,8AkkafQs-h4E5,UKcJbt3z-nPvf,27.0,60000.0,Hipoteca,,N,7.0,Pagamento de débitos,B,4000.0,9.91,0.0,0.07
fHWXngjG-MYJc,mfnyS2wm-JKIA,YJusdLG9-vXCG,32.0,54000.0,Hipoteca,6.0,N,7.0,Educativo,A,4800.0,,0.0,0.09
tG8SS5Mm-UwrJ,8xcgc18d-Kn01,v0h45JPk-a2LD,22.0,53500.0,Aluguel,2.0,N,3.0,Educativo,B,10000.0,9.99,0.0,0.19
hnhOxmAA-tLWO,TyXDAT8d-u6Df,z46LdwpN-IJwq,38.0,74237.0,Hipoteca,4.0,S,15.0,Pessoal,C,18000.0,14.35,0.0,0.24
KHgir2CN-YsqC,xegOGnee-5clE,iusRTzBO-2Dba,34.0,56400.0,Hipoteca,2.0,N,10.0,Pagamento de débitos,A,7000.0,7.9,0.0,0.12
xWJcDN5I-e9C3,y3zQEbRN-M75l,scfH8KSH-K7yE,23.0,46000.0,Aluguel,3.0,N,4.0,Médico,D,15000.0,16.0,1.0,0.33
0KFWKCoQ-Dj2E,wD1zzzpf-3zSz,E350e9j7-wTrE,24.0,65000.0,Aluguel,0.0,N,4.0,Educativo,B,14000.0,10.99,0.0,0.22
kF5DwRzi-e6Bf,MM4GGQtk-ZtFb,wTngF89u-ol7E,24.0,200000.0,Hipoteca,8.0,N,2.0,Melhora do lar,C,12000.0,13.49,0.0,0.06
luKCKk3z-TAH0,ZFx6sAcb-Eekb,3MUdLANs-ldnu,22.0,31200.0,Aluguel,3.0,S,2.0,Empreendimento,C,4200.0,13.57,0.0,0.13
3egB7sb0-zPub,vXk9FSCo-C6kL,AtqjAXtJ-gk78,26.0,65600.0,Aluguel,5.0,S,2.0,Educativo,D,10000.0,13.55,1.0,0.15
lIUDCN1S-k3eG,MEcjTt8a-Kx5R,Tcb6LDZf-W8u3,25.0,62400.0,Própria,7.0,S,2.0,Pessoal,E,4000.0,18.39,1.0,0.06
z2om9mZD-ajLK,mR26IC3h-obru,0wncC2ot-pkMd,37.0,74000.0,Aluguel,7.0,N,11.0,Pessoal,B,15000.0,11.71,0.0,0.2
OeyJXeCG-wgzM,tbwU42nh-GhOH,D1nwLxCH-4USt,21.0,18000.0,Aluguel,1.0,N,2.0,Empreendimento,A,3200.0,8.49,1.0,0.18
1uyXenbj-zWrD,ayWXO3T5-Fgc4,Yldo8vvb-lfod,28.0,78000.0,Hipoteca,1.0,S,7.0,Melhora do lar,C,5000.0,12.99,0.0,0.06
7aUltIjY-fYeT,nsE6JeXF-JZF2,vKPPDBLh-NLfd,25.0,19200.0,Aluguel,3.0,N,3.0,Empreendimento,B,5000.0,10.99,1.0,0.26
a4h16lGe-pClS,owzzLQ86-tnpw,TE2NZFco-2E2g,24.0,70000.0,Hipoteca,8.0,N,2.0,Melhora do lar,B,4800.0,11.36,0.0,0.07
TlsUjXcy-gDsQ,33itONtd-zDZF,0wxs9zG4-v4Wp,,130000.0,Própria,13.0,N,15.0,Melhora do lar,D,16000.0,,0.0,0.4
P3kfvOhq-Hieg,QH19fEn9-5hZl,Kt5hsxMw-0Njw,25.0,28000.0,Aluguel,3.0,S,4.0,Pagamento de débitos,C,8000.0,14.65,0.0,0.29
uIU749kA-UWyc,DnnSwFm2-eOfk,hix5IT5c-fNnO,23.0,85000.0,Aluguel,7.0,N,4.0,Médico,B,10000.0,11.89,0.0,0.12
INBjismb-gJgh,X20eRxbC-qIoX,Dj2Wxg24-YDTb,26.0,88068.0,Aluguel,10.0,N,2.0,Pagamento de débitos,B,14400.0,,0.0,0.16
q9yffya5-hFDG,0GiI0DOC-spq2,EZA6BbvK-fXeC,21.0,70000.0,Aluguel,5.0,N,4.0,Médico,B,9700.0,12.53,0.0,0.14
fj7EEDWo-kBTE,hUDw7jjZ-FO1z,rjP98geN-OKWR,24.0,56100.0,Hipoteca,0.0,N,4.0,Médico,B,6000.0,11.71,1.0,0.09
3ssBLr7n-ye5A,okkGgdbp-9PRW,8M1MoxNe-otUe,32.0,64000.0,Aluguel,1.0,N,9.0,Educativo,B,13000.0,10.99,0.0,0.2
EUit9jOR-sFdG,u0AmNpIS-fjAD,wIUxg4Zw-XA25,23.0,40000.0,Aluguel,7.0,N,3.0,Pessoal,A,15000.0,7.49,1.0,0.38
Dzo6PdAA-cIUe,j75yzNDS-rCW0,JT4JLobo-wDpR,45.0,210000.0,Hipoteca,14.0,N,12.0,Pagamento de débitos,A,12000.0,9.63,0.0,0.06
8PteX79d-HypF,ucK3gwXn-neF0,MCrCW4mK-qhrh,29.0,54000.0,Hipoteca,8.0,S,10.0,Médico,D,14800.0,15.31,1.0,0.27
Ya6c8oue-ANtm,abrS7gb2-ofBP,MZywc0JB-DCr8,23.0,18460.0,Aluguel,0.0,N,2.0,Pessoal,A,2775.0,7.68,0.0,0.15
4fLWiOft-ZnJQ,QH4iCcf5-1qii,vqS8GixZ-xNlJ,24.0,38272.0,Aluguel,1.0,,4.0,Empreendimento,C,6506.0,,0.0,0.17
Am1ItFvo-1ni4,ksM6gtQx-9a0z,kg5klBW3-H7Mr,34.0,21000.0,Aluguel,2.0,N,8.0,Médico,A,2100.0,7.88,0.0,0.1
SjkENbus-amfl,uvvOrGBN-5lgx,muGjKS8m-QMFz,31.0,45000.0,Hipoteca,6.0,N,8.0,Pagamento de débitos,A,2500.0,7.88,0.0,0.06
qUogOFm7-2giO,CA5YSy1w-2sdf,NRz0c1RG-GvB5,26.0,18144.0,Aluguel,2.0,N,4.0,Pessoal,B,2675.0,9.91,0.0,0.15
QWEHSZ8m-LB6P,2F44I30Q-JcOf,e3Hqd2MQ-hJHr,30.0,310000.0,Hipoteca,13.0,N,10.0,Pagamento de débitos,B,14000.0,,0.0,0.05
lpqoTU2M-AgDf,lwKhqYU0-UFIZ,54bSbLEj-oT3P,25.0,44000.0,Hipoteca,3.0,N,2.0,Empreendimento,A,3600.0,9.32,0.0,0.08
jf0Tquek-nNXT,9py2rYqS-Fyrp,8UZBEFC7-oFwc,24.0,144000.0,Hipoteca,,N,4.0,Pagamento de débitos,C,8000.0,14.72,0.0,0.06
CYZzRJmT-SHqR,euqvjJSJ-ohzU,dYDieDFM-kLnC,36.0,84000.0,Hipoteca,14.0,N,16.0,Empreendimento,A,1000.0,7.51,0.0,0.01
0xq5chpv-Gje5,n46EgLu6-kHPb,YpmC7i0g-UvB8,30.0,70000.0,Hipoteca,9.0,N,8.0,Pessoal,A,7000.0,8.9,0.0,0.1
08U57lf7-4aJK,CfkGpRbc-kXt8,XcpMCoyx-lvYS,27.0,73400.0,Hipoteca,10.0,N,5.0,Médico,A,2100.0,6.76,0.0,0.03
84DWxumS-yr0b,u5uWHigC-2BoW,JgiyWF5x-BPmf,37.0,56000.0,Hipoteca,2.0,N,17.0,Melhora do lar,A,13000.0,9.63,0.0,0.23
4wCAc0zs-nx0m,Pdz1pzaM-KRf8,izIi5MpW-32T0,33.0,101000.0,Hipoteca,8.0,N,7.0,Melhora do lar,A,5000.0,7.49,0.0,0.05
vy0rxFbM-5Z85,Xbrw8EEI-pErC,xXztGcsu-NImC,22.0,38400.0,Própria,5.0,N,2.0,Educativo,C,10000.0,13.99,0.0,0.26
ATzUq99K-LyWJ,rEmYGgfL-rBax,XjnlSIyd-MTh6,46.0,105398.0,Hipoteca,9.0,N,12.0,Melhora do lar,E,20700.0,17.43,0.0,0.2
OwRYvuyY-uMDR,qI0ng0gg-yiCz,RB0JSZAq-AXR2,29.0,42000.0,Hipoteca,6.0,N,10.0,Educativo,A,5500.0,7.66,1.0,0.13
k9xLIOe1-mWM3,QZNoEZ08-9BZv,aYu9CwW3-m843,50.0,68608.0,Aluguel,21.0,N,15.0,Empreendimento,B,7500.0,10.33,0.0,0.11
PX6kenWz-FXus,A0i8npmQ-BTxH,82jvlUtE-c2iF,23.0,62400.0,Aluguel,0.0,S,4.0,Pagamento de débitos,C,10000.0,12.87,0.0,0.16
mNriNTi8-d0vX,0i7pOLWl-mbqL,L8mhF8LM-IKjN,24.0,53000.0,Própria,8.0,N,2.0,Médico,A,3350.0,6.76,0.0,0.06
YWbcjrjq-DzFN,4FBXU4eo-KoyR,KYNtsGsJ-QRna,27.0,27000.0,Hipoteca,4.0,N,6.0,Empreendimento,A,4300.0,5.99,0.0,0.16
j7M6n7ew-X4Yx,D254qS0A-JhmJ,XCNMMDml-qgAn,25.0,101000.0,Hipoteca,9.0,N,3.0,Educativo,B,17000.0,11.71,0.0,0.17
s2jpow68-uv1L,4bBhaif1-bI7T,UHM8Lgln-2m8y,27.0,44630.0,Própria,10.0,N,8.0,Médico,B,10825.0,10.99,0.0,0.24
G0u5gmz4-QdbJ,B1IuSYS4-FYTx,fhpgM4vA-Rgl7,29.0,75000.0,Aluguel,2.0,N,9.0,Melhora do lar,B,7000.0,11.71,0.0,0.09
raBwL2Zf-wKw6,YINvWoAk-YdJ1,ZTulEHrR-iTUU,23.0,26400.0,Aluguel,0.0,N,2.0,Médico,A,7000.0,7.4,0.0,0.27
FBAa7wnq-ZmrW,aX0z01Di-eOTe,z8XP8nrT-PzhM,21.0,18000.0,Aluguel,2.0,N,2.0,Pessoal,B,4500.0,10.38,1.0,0.25
pyGU8aXH-bRYq,6R4iW5xa-u6TZ,rS3Z8dhb-7y65,23.0,79996.0,Hipoteca,2.0,S,3.0,Educativo,E,24000.0,16.32,0.0,0.3
JUFNPjwk-aC8W,43JjwnEd-i6oe,5ojlBSwG-GKI8,30.0,30000.0,Aluguel,1.0,N,8.0,Pessoal,B,14500.0,,1.0,0.48
bhQMfG58-ksWc,KlttDAbI-S0l9,gB6X10D8-kuPK,,3600.0,Aluguel,7.0,N,3.0,Pessoal,C,20000.0,14.17,0.0,0.18
ox2LiBAx-ojRN,T0QzSlgN-lcnO,FxDjAQZv-Y90a,25.0,82000.0,Aluguel,1.0,N,2.0,Educativo,E,22000.0,17.51,1.0,0.27
WEichDR3-w2jx,14u2dQ3a-cvSc,e1SA2jbk-Tdlm,24.0,37004.0,Aluguel,2.0,N,4.0,Empreendimento,D,5500.0,15.05,1.0,0.15
SL59is7u-W1CU,yZxWZ4Mj-me30,mkHGJjIO-Y1TM,25.0,82000.0,Aluguel,2.0,N,2.0,Empreendimento,B,4050.0,9.99,0.0,0.05
mMlShyaJ-6FuG,lrqu28XU-yvEy,8Lhup9fA-IKTw,21.0,18000.0,Aluguel,3.0,S,4.0,Pessoal,C,1500.0,12.87,0.0,0.08
0Bh1GxFW-iFmP,uvn0Lhnh-TJLT,taBZvXsM-O7nY,28.0,136092.0,Hipoteca,2.0,N,5.0,Empreendimento,C,8000.0,13.61,0.0,0.06
eh609CSq-vC4m,7RPfwspc-zD1s,ktvjS6Bc-x34y,35.0,55000.0,Aluguel,3.0,N,6.0,Pagamento de débitos,B,9000.0,10.25,0.0,0.16
vkL5m5ho-PDCH,fRZuq1ry-OTwp,q1gRBHQM-NHhG,29.0,18000.0,Aluguel,,N,6.0,Pagamento de débitos,B,6400.0,10.37,1.0,0.36
pOE6qipO-poY3,nk1uUiXi-78XP,vnTJtXyB-NAqz,38.0,43000.0,Aluguel,22.0,S,12.0,Médico,D,10000.0,16.89,1.0,0.23
gdtnriPZ-nbcu,URdKjesP-UEad,KewGnW2U-38ZJ,28.0,73000.0,Aluguel,3.0,N,7.0,Pagamento de débitos,C,1000.0,,0.0,0.01
0Fo6Awuo-c9f2,UMNKvAks-703s,vHFYoJTv-mP22,23.0,83000.0,Hipoteca,5.0,N,4.0,Educativo,B,20000.0,11.83,1.0,0.24
RAZ2SbpT-g4tN,t8XAs3PC-kJfm,QBxdAZdv-3xxX,23.0,80000.0,Hipoteca,7.0,N,2.0,Educativo,B,15000.0,12.42,0.0,0.19
ytlmJD4x-ztWG,sg01x6qN-slG6,GeR7beIr-p6yG,25.0,60000.0,Hipoteca,10.0,N,3.0,Empreendimento,D,10000.0,16.77,0.0,0.17
PwvaEd5X-jFLM,8Cc3onca-0klN,amaSJA6p-IWe4,27.0,75000.0,Hipoteca,2.0,N,7.0,Empreendimento,B,8000.0,10.95,0.0,0.11
